description,category,person_names,dates,topics,effects,anatomical_terms
"Summary: An attempt to penetrate a child. Child reported by Julia Sharp, Kimberly Dixon Incident occurred on 26 March 2023 Effects reported: HIV, high rate of bleeding.",Attempted Defilement,Julia Sharp; Kimberly Dixon,26 March 2023,,HIV; high rate of bleeding,
"Reported incident: A child living, begging, or working on the street. Child reported by Michael Lawrence, Nicole Garcia Incident occurred on 21 August 2021 Topics involved include online child abuse, harmful cultural practices Affected parts: labia minora.",Children on the Street,Michael Lawrence; Nicole Garcia,21 August 2021,online child abuse; harmful cultural practices,,labia minora
"Summary: Infliction or failure to prevent physical harm to a child. Child reported by Kyle Hughes Incident occurred on 11 April 2022, 01 September 2023 Topics involved include child marriage.",Physical abuse/violence,Kyle Hughes,11 April 2022; 01 September 2023,child marriage,,
"Narrative: Right of a child to be registered at birth. Child reported by Frank Moyer Incident occurred on 08 September 2023, 27 November 2022 Topics involved include online child abuse Effects reported: infection, HIV Affected parts: genitals.",Registration,Frank Moyer,08 September 2023; 27 November 2022,online child abuse,infection; HIV,genitals
"Narrative: A child living, begging, or working on the street. Child reported by Dr. Valerie Pratt Incident occurred on 26 May 2024, 20 January 2022 Topics involved include child marriage Affected parts: reproductive organs.",Children on the Street,Dr. Valerie Pratt,26 May 2024; 20 January 2022,child marriage,,reproductive organs
"Summary: Child engaged in use or trafficking of drugs. Child reported by Sheila Bartlett, Todd Brown Incident occurred on 07 August 2021, 10 March 2023 Topics involved include child marriage, Female Genital Mutilation Effects reported: high rate of bleeding, trauma.",Drug and substance abuse,Sheila Bartlett; Todd Brown,07 August 2021; 10 March 2023,child marriage; Female Genital Mutilation,high rate of bleeding; trauma,
"Summary: Recruitment or transport of a child for exploitation. Child reported by Robert Williams, Michael Arnold Incident occurred on 16 January 2022 Topics involved include emotional abuse, harmful cultural practices Effects reported: trauma, anxiety.",Child Trafficking,Robert Williams; Michael Arnold,16 January 2022,emotional abuse; harmful cultural practices,trauma; anxiety,
Narrative: A child deserted by the parent or caregiver or not contacted for 6+ months. Child reported by Jennifer Caldwell Incident occurred on 15 May 2022 Effects reported: high rate of bleeding Affected parts: reproductive organs.,Abandoned,Jennifer Caldwell,15 May 2022,,high rate of bleeding,reproductive organs
Case overview: Acts harming a child's emotional development. Child reported by Antonio Wells Incident occurred on 09 March 2022 Topics involved include drug and substance abuse Effects reported: infection.,Emotional abuse,Antonio Wells,09 March 2022,drug and substance abuse,infection,
"Reported incident: Penetration act with a child including sodomy. Child reported by Cynthia Reese, Megan Diaz Incident occurred on 21 October 2020, 24 October 2021 Topics involved include child labor, online child abuse Effects reported: high rate of bleeding, anxiety.",Defilement,Cynthia Reese; Megan Diaz,21 October 2020; 24 October 2021,child labor; online child abuse,high rate of bleeding; anxiety,
Narrative: Marriage or cohabitation with a child. Child reported by Jessica Brooks Incident occurred on 26 March 2024 Topics involved include online child abuse Effects reported: high rate of bleeding.,Child marriage,Jessica Brooks,26 March 2024,online child abuse,high rate of bleeding,
"Reported incident: Penetration act with a child including sodomy. Child reported by Mr. Michael Livingston Incident occurred on 01 May 2020 Topics involved include child labor, child marriage Effects reported: anxiety Affected parts: labia majora.",Defilement,Mr. Michael Livingston,01 May 2020,child labor; child marriage,anxiety,labia majora
"Reported incident: A child deserted by the parent or caregiver or not contacted for 6+ months. Child reported by David Clayton Incident occurred on 23 May 2020 Topics involved include Female Genital Mutilation, drug and substance abuse Effects reported: high rate of bleeding, trauma.",Abandoned,David Clayton,23 May 2020,Female Genital Mutilation; drug and substance abuse,high rate of bleeding; trauma,
"Summary: Right of a child to be registered at birth. Child reported by Jessica Forbes Incident occurred on 20 August 2021, 06 March 2022 Topics involved include child marriage Effects reported: trauma, HIV Affected parts: labia minora.",Registration,Jessica Forbes,20 August 2021; 06 March 2022,child marriage,trauma; HIV,labia minora
"Summary: Right of a child to be registered at birth. Child reported by Kerry Greer, Jonathan Dawson Incident occurred on 14 December 2022, 03 November 2023 Topics involved include emotional abuse, drug and substance abuse Effects reported: infection.",Registration,Kerry Greer; Jonathan Dawson,14 December 2022; 03 November 2023,emotional abuse; drug and substance abuse,infection,
"Reported incident: Practices like FGM, forced marriage, or virginity testing. Child reported by Mrs. Wendy Hernandez, Ann Herrera Incident occurred on 05 March 2022 Effects reported: psychological problems.",Harmful cultural practices,Mrs. Wendy Hernandez; Ann Herrera,05 March 2022,,psychological problems,
"Reported incident: Non-medical cutting or injury of female genitals. Child reported by Robert Griffin Incident occurred on 22 March 2022 Topics involved include emotional abuse, drug and substance abuse Effects reported: high rate of bleeding Affected parts: labia minora.",Female Genital Mutilation (FGM),Robert Griffin,22 March 2022,emotional abuse; drug and substance abuse,high rate of bleeding,labia minora
"Reported incident: Marriage or cohabitation with a child. Child reported by Bradley Williams Incident occurred on 14 February 2025, 04 October 2020 Topics involved include harmful cultural practices Effects reported: infection Affected parts: labia minora.",Child marriage,Bradley Williams,14 February 2025; 04 October 2020,harmful cultural practices,infection,labia minora
"Reported incident: Hazardous, exploitative or inappropriate work for a child. Child reported by Keith Erickson, Melvin Nelson Incident occurred on 16 August 2024 Topics involved include child labor.",Child labor,Keith Erickson; Melvin Nelson,16 August 2024,child labor,,
"Reported incident: Child tested positive for HIV. Child reported by Jesus Jennings Incident occurred on 04 April 2024, 09 December 2024 Topics involved include emotional abuse, child labor.",Child infected with HIV,Jesus Jennings,04 April 2024; 09 December 2024,emotional abuse; child labor,,
"Case overview: Hazardous, exploitative or inappropriate work for a child. Child reported by James Martin Incident occurred on 23 September 2024 Topics involved include online child abuse Effects reported: HIV Affected parts: labia majora.",Child labor,James Martin,23 September 2024,online child abuse,HIV,labia majora
Narrative: Child tested positive for HIV. Child reported by Isabella Chavez Incident occurred on 03 September 2020 Affected parts: genitals.,Child infected with HIV,Isabella Chavez,03 September 2020,,,genitals
"Reported incident: A child deserted by the parent or caregiver or not contacted for 6+ months. Child reported by Wendy Coleman Incident occurred on 01 December 2021 Topics involved include online child abuse, harmful cultural practices.",Abandoned,Wendy Coleman,01 December 2021,online child abuse; harmful cultural practices,,
"Narrative: Hazardous, exploitative or inappropriate work for a child. Child reported by Nicole Harrison, Matthew Williams Incident occurred on 09 August 2023 Topics involved include Female Genital Mutilation.",Child labor,Nicole Harrison; Matthew Williams,09 August 2023,Female Genital Mutilation,,
"Summary: Non-medical cutting or injury of female genitals. Child reported by Emily Duran Incident occurred on 26 November 2021 Effects reported: anxiety, trauma.",Female Genital Mutilation (FGM),Emily Duran,26 November 2021,,anxiety; trauma,
"Narrative: Penetration act with a child including sodomy. Child reported by Wanda Lopez Incident occurred on 18 March 2022 Topics involved include harmful cultural practices, emotional abuse.",Defilement,Wanda Lopez,18 March 2022,harmful cultural practices; emotional abuse,,
"Case overview: Recruitment or transport of a child for exploitation. Child reported by Kenneth Cross, Sarah Buck Incident occurred on 15 August 2022 Topics involved include Female Genital Mutilation Effects reported: high rate of bleeding, infection Affected parts: labia minora.",Child Trafficking,Kenneth Cross; Sarah Buck,15 August 2022,Female Genital Mutilation,high rate of bleeding; infection,labia minora
Summary: Right of a child to be registered at birth. Child reported by Sally Forbes Incident occurred on 31 August 2024.,Registration,Sally Forbes,31 August 2024,,,
"Narrative: Right of a child to be registered at birth. Child reported by John Jones Incident occurred on 14 November 2024 Topics involved include emotional abuse, online child abuse Effects reported: trauma.",Registration,John Jones,14 November 2024,emotional abuse; online child abuse,trauma,
"Narrative: A child living, begging, or working on the street. Child reported by Jeffery Morris Incident occurred on 31 March 2024 Topics involved include harmful cultural practices, emotional abuse Effects reported: infection, high rate of bleeding Affected parts: labia minora.",Children on the Street,Jeffery Morris,31 March 2024,harmful cultural practices; emotional abuse,infection; high rate of bleeding,labia minora
"Case overview: Exploitation of a child’s vulnerability or trust for sexual gain. Child reported by Hector Allison Incident occurred on 15 April 2022 Topics involved include child labor, child marriage Effects reported: trauma, HIV.",Sexual assault and Abuse,Hector Allison,15 April 2022,child labor; child marriage,trauma; HIV,
"Reported incident: Practices like FGM, forced marriage, or virginity testing. Child reported by Raymond Morris Jr., Christopher Allen Incident occurred on 24 December 2024 Topics involved include Female Genital Mutilation Effects reported: trauma, anxiety.",Harmful cultural practices,Raymond Morris Jr.; Christopher Allen,24 December 2024,Female Genital Mutilation,trauma; anxiety,
"Narrative: A child deserted by the parent or caregiver or not contacted for 6+ months. Child reported by Crystal Miller Incident occurred on 25 April 2021, 05 July 2020 Topics involved include harmful cultural practices, child marriage Effects reported: psychological problems Affected parts: reproductive organs.",Abandoned,Crystal Miller,25 April 2021; 05 July 2020,harmful cultural practices; child marriage,psychological problems,reproductive organs
"Case overview: Infliction or failure to prevent physical harm to a child. Child reported by David Mitchell, David Mann Incident occurred on 27 August 2023, 04 January 2024 Topics involved include child marriage, child labor Affected parts: genitals.",Physical abuse/violence,David Mitchell; David Mann,27 August 2023; 04 January 2024,child marriage; child labor,,genitals
"Narrative: Exploitation of a child’s vulnerability or trust for sexual gain. Child reported by Brian Smith Incident occurred on 13 September 2021, 24 April 2023 Topics involved include Female Genital Mutilation, harmful cultural practices Affected parts: labia minora.",Sexual assault and Abuse,Brian Smith,13 September 2021; 24 April 2023,Female Genital Mutilation; harmful cultural practices,,labia minora
"Summary: Child engaged in use or trafficking of drugs. Child reported by Jennifer Salazar, Allen Torres Incident occurred on 05 August 2021, 30 September 2024 Topics involved include drug and substance abuse Affected parts: reproductive organs.",Drug and substance abuse,Jennifer Salazar; Allen Torres,05 August 2021; 30 September 2024,drug and substance abuse,,reproductive organs
"Summary: Child with impairments affecting daily life. Child reported by Brent Newton, Ashley Morrison Incident occurred on 17 August 2021 Topics involved include online child abuse, drug and substance abuse Effects reported: psychological problems Affected parts: genitals.",Child with disability,Brent Newton; Ashley Morrison,17 August 2021,online child abuse; drug and substance abuse,psychological problems,genitals
"Reported incident: A child living, begging, or working on the street. Child reported by Christopher White Incident occurred on 13 February 2023 Topics involved include harmful cultural practices Effects reported: trauma Affected parts: reproductive organs.",Children on the Street,Christopher White,13 February 2023,harmful cultural practices,trauma,reproductive organs
"Case overview: Non-medical cutting or injury of female genitals. Child reported by Hailey Arias, Ronnie Wagner Incident occurred on 14 July 2024 Topics involved include Female Genital Mutilation, emotional abuse Effects reported: psychological problems, HIV Affected parts: labia minora.",Female Genital Mutilation (FGM),Hailey Arias; Ronnie Wagner,14 July 2024,Female Genital Mutilation; emotional abuse,psychological problems; HIV,labia minora
Summary: A child deserted by the parent or caregiver or not contacted for 6+ months. Child reported by Kimberly Ross Incident occurred on 22 December 2020.,Abandoned,Kimberly Ross,22 December 2020,,,
"Narrative: Right of a child to be registered at birth. Child reported by Corey Jones, Pamela Mullins Incident occurred on 22 July 2023 Topics involved include emotional abuse Effects reported: trauma, high rate of bleeding.",Registration,Corey Jones; Pamela Mullins,22 July 2023,emotional abuse,trauma; high rate of bleeding,
"Reported incident: Practices like FGM, forced marriage, or virginity testing. Child reported by Jennifer Walker, Darrell Harris Incident occurred on 21 September 2020, 16 October 2022 Topics involved include emotional abuse Effects reported: infection, psychological problems.",Harmful cultural practices,Jennifer Walker; Darrell Harris,21 September 2020; 16 October 2022,emotional abuse,infection; psychological problems,
"Narrative: Marriage or cohabitation with a child. Child reported by Bonnie Blanchard, John Ramirez Incident occurred on 08 December 2023, 07 August 2024 Topics involved include emotional abuse Effects reported: trauma, high rate of bleeding Affected parts: labia minora.",Child marriage,Bonnie Blanchard; John Ramirez,08 December 2023; 07 August 2024,emotional abuse,trauma; high rate of bleeding,labia minora
Reported incident: Child tested positive for HIV. Child reported by Jorge Villanueva Incident occurred on 02 November 2021 Topics involved include emotional abuse Effects reported: trauma Affected parts: labia minora.,Child infected with HIV,Jorge Villanueva,02 November 2021,emotional abuse,trauma,labia minora
"Reported incident: Acts harming a child's emotional development. Child reported by Sandy Johnson Incident occurred on 20 July 2021, 29 October 2022 Topics involved include online child abuse.",Emotional abuse,Sandy Johnson,20 July 2021; 29 October 2022,online child abuse,,
"Reported incident: Care and control of a child by law or agreement. Child reported by Colin Smith, Alex Jackson Incident occurred on 28 March 2024, 12 August 2020 Topics involved include child marriage Affected parts: labia minora.",Custody,Colin Smith; Alex Jackson,28 March 2024; 12 August 2020,child marriage,,labia minora
Reported incident: Recruitment or transport of a child for exploitation. Child reported by Laura Stone Incident occurred on 04 August 2024 Effects reported: psychological problems.,Child Trafficking,Laura Stone,04 August 2024,,psychological problems,
"Narrative: Child engaged in use or trafficking of drugs. Child reported by Christopher Schultz, Justin Solomon Incident occurred on 05 February 2024, 08 April 2023 Topics involved include Female Genital Mutilation, drug and substance abuse Effects reported: HIV Affected parts: reproductive organs.",Drug and substance abuse,Christopher Schultz; Justin Solomon,05 February 2024; 08 April 2023,Female Genital Mutilation; drug and substance abuse,HIV,reproductive organs
"Summary: Practices like FGM, forced marriage, or virginity testing. Child reported by Andrew Moore, Austin Miller Incident occurred on 01 January 2022 Affected parts: labia minora.",Harmful cultural practices,Andrew Moore; Austin Miller,01 January 2022,,,labia minora
"Case overview: Care and control of a child by law or agreement. Child reported by James Harris DDS, Christopher Smith Incident occurred on 18 July 2024, 04 March 2022 Effects reported: anxiety.",Custody,James Harris DDS; Christopher Smith,18 July 2024; 04 March 2022,,anxiety,
"Narrative: Care and control of a child by law or agreement. Child reported by Tyler Hinton Incident occurred on 09 August 2023 Topics involved include Female Genital Mutilation, drug and substance abuse Effects reported: trauma.",Custody,Tyler Hinton,09 August 2023,Female Genital Mutilation; drug and substance abuse,trauma,
"Reported incident: A child under 14 unlawfully or forcibly taken or detained. Child reported by Michael Robinson Incident occurred on 28 January 2023, 25 December 2022 Effects reported: HIV, infection.",Abduction,Michael Robinson,28 January 2023; 25 December 2022,,HIV; infection,
"Case overview: Care and control of a child by law or agreement. Child reported by Tony Martin Incident occurred on 24 October 2021, 07 March 2024 Effects reported: psychological problems, HIV Affected parts: genitals.",Custody,Tony Martin,24 October 2021; 07 March 2024,,psychological problems; HIV,genitals
"Case overview: Child tested positive for HIV. Child reported by Bradley Short Incident occurred on 19 March 2025, 16 May 2024 Topics involved include drug and substance abuse.",Child infected with HIV,Bradley Short,19 March 2025; 16 May 2024,drug and substance abuse,,
"Narrative: A child living, begging, or working on the street. Child reported by Aaron Dixon, Shaun Taylor Incident occurred on 25 August 2021, 05 April 2024 Topics involved include drug and substance abuse, emotional abuse Effects reported: high rate of bleeding Affected parts: clitoris.",Children on the Street,Aaron Dixon; Shaun Taylor,25 August 2021; 05 April 2024,drug and substance abuse; emotional abuse,high rate of bleeding,clitoris
"Reported incident: Non-medical cutting or injury of female genitals. Child reported by Charles Martinez, Carl Adams Incident occurred on 16 November 2022, 06 February 2023 Effects reported: HIV, anxiety.",Female Genital Mutilation (FGM),Charles Martinez; Carl Adams,16 November 2022; 06 February 2023,,HIV; anxiety,
Narrative: Sexual acts between close relatives. Child reported by Crystal Francis MD Incident occurred on 09 October 2021 Topics involved include emotional abuse Effects reported: trauma Affected parts: genitals.,Incest,Crystal Francis MD,09 October 2021,emotional abuse,trauma,genitals
"Narrative: A child living, begging, or working on the street. Child reported by Anthony Smith Incident occurred on 17 December 2020, 23 February 2022 Effects reported: HIV, psychological problems.",Children on the Street,Anthony Smith,17 December 2020; 23 February 2022,,HIV; psychological problems,
"Reported incident: Care and control of a child by law or agreement. Child reported by Jessica Banks, Brett Johnson Incident occurred on 27 December 2022 Topics involved include Female Genital Mutilation Effects reported: high rate of bleeding, HIV.",Custody,Jessica Banks; Brett Johnson,27 December 2022,Female Genital Mutilation,high rate of bleeding; HIV,
Case overview: A child under 14 unlawfully or forcibly taken or detained. Child reported by Joel Carter Incident occurred on 18 May 2021 Effects reported: infection Affected parts: labia minora.,Abduction,Joel Carter,18 May 2021,,infection,labia minora
"Narrative: Girl under 18 who is pregnant. Child reported by Adam Arroyo Incident occurred on 23 November 2021, 22 January 2022 Topics involved include Female Genital Mutilation, emotional abuse.",Child Pregnancy,Adam Arroyo,23 November 2021; 22 January 2022,Female Genital Mutilation; emotional abuse,,
"Summary: Care and control of a child by law or agreement. Child reported by Brandon Gallagher, Lynn Walker Incident occurred on 19 October 2021, 12 August 2024 Topics involved include drug and substance abuse, harmful cultural practices Effects reported: high rate of bleeding.",Custody,Brandon Gallagher; Lynn Walker,19 October 2021; 12 August 2024,drug and substance abuse; harmful cultural practices,high rate of bleeding,
"Case overview: Infliction or failure to prevent physical harm to a child. Child reported by Sara Harrison Incident occurred on 04 March 2021, 04 August 2022 Topics involved include online child abuse, child labor Affected parts: genitals.",Physical abuse/violence,Sara Harrison,04 March 2021; 04 August 2022,online child abuse; child labor,,genitals
"Case overview: Marriage or cohabitation with a child. Child reported by Brittany Barton, Nancy Houston Incident occurred on 03 May 2020 Effects reported: high rate of bleeding Affected parts: clitoris.",Child marriage,Brittany Barton; Nancy Houston,03 May 2020,,high rate of bleeding,clitoris
"Reported incident: Child engaged in use or trafficking of drugs. Child reported by Tanya Brady, Benjamin Adams Incident occurred on 11 November 2022, 25 December 2021 Topics involved include child marriage Affected parts: reproductive organs.",Drug and substance abuse,Tanya Brady; Benjamin Adams,11 November 2022; 25 December 2021,child marriage,,reproductive organs
"Narrative: Marriage or cohabitation with a child. Child reported by Daniel Saunders, Deanna Gallegos Incident occurred on 23 July 2021, 19 September 2020.",Child marriage,Daniel Saunders; Deanna Gallegos,23 July 2021; 19 September 2020,,,
"Reported incident: A child under 14 unlawfully or forcibly taken or detained. Child reported by Teresa Abbott Incident occurred on 04 October 2022 Topics involved include emotional abuse, child marriage Effects reported: trauma, anxiety.",Abduction,Teresa Abbott,04 October 2022,emotional abuse; child marriage,trauma; anxiety,
"Case overview: Child tested positive for HIV. Child reported by Heather Long Incident occurred on 12 April 2021, 06 December 2023 Effects reported: anxiety, HIV.",Child infected with HIV,Heather Long,12 April 2021; 06 December 2023,,anxiety; HIV,
Summary: Care and control of a child by law or agreement. Child reported by Rodney Ellis Incident occurred on 24 April 2025 Affected parts: genitals.,Custody,Rodney Ellis,24 April 2025,,,genitals
Summary: Sexual acts between close relatives. Child reported by Sandra Mckee Incident occurred on 20 July 2023 Topics involved include online child abuse Affected parts: labia minora.,Incest,Sandra Mckee,20 July 2023,online child abuse,,labia minora
"Reported incident: Penetration act with a child including sodomy. Child reported by Sarah Ortiz, Terry Smith Incident occurred on 01 January 2023, 01 August 2022 Topics involved include child marriage, emotional abuse Effects reported: anxiety.",Defilement,Sarah Ortiz; Terry Smith,01 January 2023; 01 August 2022,child marriage; emotional abuse,anxiety,
"Case overview: Child with impairments affecting daily life. Child reported by Thomas Stewart Incident occurred on 16 September 2023 Effects reported: trauma, anxiety Affected parts: labia minora.",Child with disability,Thomas Stewart,16 September 2023,,trauma; anxiety,labia minora
"Reported incident: Sexual acts between close relatives. Child reported by Victoria Edwards, James Briggs Incident occurred on 05 February 2025 Affected parts: labia minora.",Incest,Victoria Edwards; James Briggs,05 February 2025,,,labia minora
"Narrative: Exploitation of a child’s vulnerability or trust for sexual gain. Child reported by Paul Orr, Jacob Ward Incident occurred on 11 March 2025, 31 March 2023.",Sexual assault and Abuse,Paul Orr; Jacob Ward,11 March 2025; 31 March 2023,,,
"Summary: Child tested positive for HIV. Child reported by James Henry, Victoria Martinez Incident occurred on 26 March 2021, 18 November 2021 Topics involved include child labor Effects reported: psychological problems, anxiety.",Child infected with HIV,James Henry; Victoria Martinez,26 March 2021; 18 November 2021,child labor,psychological problems; anxiety,
"Case overview: Penetration act with a child including sodomy. Child reported by Joyce Fisher Incident occurred on 12 December 2024 Effects reported: infection, psychological problems.",Defilement,Joyce Fisher,12 December 2024,,infection; psychological problems,
"Narrative: Child engaged in use or trafficking of drugs. Child reported by Mark Riley Incident occurred on 17 July 2021 Topics involved include drug and substance abuse, child labor Effects reported: infection, high rate of bleeding Affected parts: genitals.",Drug and substance abuse,Mark Riley,17 July 2021,drug and substance abuse; child labor,infection; high rate of bleeding,genitals
"Reported incident: Right of a child to be registered at birth. Child reported by Kevin Martin Incident occurred on 15 August 2020 Effects reported: anxiety, trauma.",Registration,Kevin Martin,15 August 2020,,anxiety; trauma,
"Reported incident: Child tested positive for HIV. Child reported by Lynn Smith, Ricky Simmons Incident occurred on 16 August 2023, 10 October 2021 Topics involved include child labor.",Child infected with HIV,Lynn Smith; Ricky Simmons,16 August 2023; 10 October 2021,child labor,,
Narrative: Sexual acts between close relatives. Child reported by John Gross Incident occurred on 16 August 2020 Affected parts: labia majora.,Incest,John Gross,16 August 2020,,,labia majora
"Reported incident: Girl under 18 who is pregnant. Child reported by Betty Cruz DDS, Kathryn Steele Incident occurred on 17 August 2020, 17 November 2024 Topics involved include child labor, harmful cultural practices Effects reported: psychological problems Affected parts: reproductive organs.",Child Pregnancy,Betty Cruz DDS; Kathryn Steele,17 August 2020; 17 November 2024,child labor; harmful cultural practices,psychological problems,reproductive organs
"Reported incident: Penetration act with a child including sodomy. Child reported by Zachary Krause Incident occurred on 10 January 2023, 17 November 2024 Effects reported: high rate of bleeding, trauma Affected parts: genitals.",Defilement,Zachary Krause,10 January 2023; 17 November 2024,,high rate of bleeding; trauma,genitals
"Case overview: Child tested positive for HIV. Child reported by Samuel Sandoval Incident occurred on 18 September 2024 Topics involved include drug and substance abuse, emotional abuse Effects reported: infection Affected parts: labia majora.",Child infected with HIV,Samuel Sandoval,18 September 2024,drug and substance abuse; emotional abuse,infection,labia majora
"Reported incident: Hazardous, exploitative or inappropriate work for a child. Child reported by Jason Peterson Incident occurred on 16 December 2021, 05 August 2024 Effects reported: HIV, trauma Affected parts: clitoris.",Child labor,Jason Peterson,16 December 2021; 05 August 2024,,HIV; trauma,clitoris
"Summary: An attempt to penetrate a child. Child reported by Lindsay Chen Incident occurred on 24 October 2021, 09 April 2023 Topics involved include child labor Effects reported: psychological problems, anxiety Affected parts: labia minora.",Attempted Defilement,Lindsay Chen,24 October 2021; 09 April 2023,child labor,psychological problems; anxiety,labia minora
"Summary: Hazardous, exploitative or inappropriate work for a child. Child reported by Ashlee Martin, Mark Hughes Incident occurred on 01 February 2024 Topics involved include emotional abuse, drug and substance abuse Affected parts: labia majora.",Child labor,Ashlee Martin; Mark Hughes,01 February 2024,emotional abuse; drug and substance abuse,,labia majora
"Reported incident: Marriage or cohabitation with a child. Child reported by Amy Williams, Christopher Rice Incident occurred on 23 May 2022 Topics involved include Female Genital Mutilation, drug and substance abuse Effects reported: infection.",Child marriage,Amy Williams; Christopher Rice,23 May 2022,Female Genital Mutilation; drug and substance abuse,infection,
"Reported incident: Infliction or failure to prevent physical harm to a child. Child reported by Tonya Tran, Alyssa James Incident occurred on 11 March 2025, 25 October 2024 Topics involved include drug and substance abuse, Female Genital Mutilation Effects reported: high rate of bleeding, anxiety Affected parts: reproductive organs.",Physical abuse/violence,Tonya Tran; Alyssa James,11 March 2025; 25 October 2024,drug and substance abuse; Female Genital Mutilation,high rate of bleeding; anxiety,reproductive organs
"Narrative: Child engaged in use or trafficking of drugs. Child reported by Luis Cook Incident occurred on 02 July 2024, 17 July 2020 Topics involved include drug and substance abuse, child marriage.",Drug and substance abuse,Luis Cook,02 July 2024; 17 July 2020,drug and substance abuse; child marriage,,
"Case overview: Child with impairments affecting daily life. Child reported by James Graham Incident occurred on 11 March 2025, 25 September 2024 Effects reported: HIV.",Child with disability,James Graham,11 March 2025; 25 September 2024,,HIV,
"Narrative: Right of a child to be registered at birth. Child reported by Kathleen Roach Incident occurred on 10 February 2024, 14 November 2023 Effects reported: high rate of bleeding, anxiety Affected parts: labia minora.",Registration,Kathleen Roach,10 February 2024; 14 November 2023,,high rate of bleeding; anxiety,labia minora
"Reported incident: Child with impairments affecting daily life. Child reported by Travis Thomas Incident occurred on 05 May 2021, 10 July 2020.",Child with disability,Travis Thomas,05 May 2021; 10 July 2020,,,
"Case overview: Care and control of a child by law or agreement. Child reported by Christopher Watts, Russell Hall Incident occurred on 01 November 2021 Topics involved include harmful cultural practices Effects reported: HIV, anxiety Affected parts: reproductive organs.",Custody,Christopher Watts; Russell Hall,01 November 2021,harmful cultural practices,HIV; anxiety,reproductive organs
"Case overview: A child deserted by the parent or caregiver or not contacted for 6+ months. Child reported by Sylvia Carlson, Samantha Smith Incident occurred on 05 November 2024, 24 January 2022 Topics involved include child labor, online child abuse Effects reported: psychological problems, infection Affected parts: labia minora.",Abandoned,Sylvia Carlson; Samantha Smith,05 November 2024; 24 January 2022,child labor; online child abuse,psychological problems; infection,labia minora
"Summary: Child engaged in use or trafficking of drugs. Child reported by Kathleen Ortiz, Gordon Rowe Incident occurred on 10 September 2023 Topics involved include child labor.",Drug and substance abuse,Kathleen Ortiz; Gordon Rowe,10 September 2023,child labor,,
"Summary: Hazardous, exploitative or inappropriate work for a child. Child reported by Cynthia King, Alejandro Clark Incident occurred on 28 September 2022, 05 January 2021 Topics involved include Female Genital Mutilation Effects reported: HIV Affected parts: genitals.",Child labor,Cynthia King; Alejandro Clark,28 September 2022; 05 January 2021,Female Genital Mutilation,HIV,genitals
"Narrative: An attempt to penetrate a child. Child reported by Stephanie Chavez Incident occurred on 15 February 2023 Topics involved include child marriage, drug and substance abuse.",Attempted Defilement,Stephanie Chavez,15 February 2023,child marriage; drug and substance abuse,,
"Case overview: Child tested positive for HIV. Child reported by William Garcia Incident occurred on 14 May 2021, 01 February 2024 Affected parts: genitals.",Child infected with HIV,William Garcia,14 May 2021; 01 February 2024,,,genitals
"Summary: Child with impairments affecting daily life. Child reported by Carl Green Incident occurred on 07 February 2024, 19 December 2023 Topics involved include online child abuse, harmful cultural practices Effects reported: HIV Affected parts: labia majora.",Child with disability,Carl Green,07 February 2024; 19 December 2023,online child abuse; harmful cultural practices,HIV,labia majora
"Narrative: Penetration act with a child including sodomy. Child reported by Elizabeth Delacruz, Julian Henson Incident occurred on 17 July 2023, 12 October 2021 Topics involved include online child abuse Effects reported: infection, anxiety Affected parts: labia minora.",Defilement,Elizabeth Delacruz; Julian Henson,17 July 2023; 12 October 2021,online child abuse,infection; anxiety,labia minora
Reported incident: Child tested positive for HIV. Child reported by Christina Stewart Incident occurred on 30 January 2023 Topics involved include emotional abuse Effects reported: HIV Affected parts: clitoris.,Child infected with HIV,Christina Stewart,30 January 2023,emotional abuse,HIV,clitoris
"Summary: Right of a child to be registered at birth. Child reported by Chris Schultz, Matthew Holmes Incident occurred on 31 December 2020, 22 March 2024 Topics involved include child marriage Effects reported: psychological problems, infection Affected parts: genitals.",Registration,Chris Schultz; Matthew Holmes,31 December 2020; 22 March 2024,child marriage,psychological problems; infection,genitals
Summary: Exploitation of a child’s vulnerability or trust for sexual gain. Child reported by Jessica Curtis Incident occurred on 10 July 2023 Affected parts: reproductive organs.,Sexual assault and Abuse,Jessica Curtis,10 July 2023,,,reproductive organs
"Narrative: Penetration act with a child including sodomy. Child reported by Gregory Jones Incident occurred on 01 December 2024, 01 April 2021 Effects reported: infection.",Defilement,Gregory Jones,01 December 2024; 01 April 2021,,infection,
"Reported incident: Non-medical cutting or injury of female genitals. Child reported by Antonio Reynolds, Kevin Bennett Incident occurred on 27 June 2024.",Female Genital Mutilation (FGM),Antonio Reynolds; Kevin Bennett,27 June 2024,,,
"Reported incident: Girl under 18 who is pregnant. Child reported by Robert Taylor Incident occurred on 28 November 2023, 24 January 2022 Effects reported: high rate of bleeding, psychological problems Affected parts: genitals.",Child Pregnancy,Robert Taylor,28 November 2023; 24 January 2022,,high rate of bleeding; psychological problems,genitals
"Reported incident: An attempt to penetrate a child. Child reported by Jonathan Williams, Rebecca Bonilla Incident occurred on 28 June 2021, 26 December 2021 Affected parts: reproductive organs.",Attempted Defilement,Jonathan Williams; Rebecca Bonilla,28 June 2021; 26 December 2021,,,reproductive organs
